station_id,name,short_name,lat,lon,region_id,rental_methods/0,rental_methods/1,capacity,eightd_has_key_dispenser
311,Norfolk St & Broome St,5374.01,40.7172274,-73.98802084,71,KEY,CREDITCARD,31,FALSE
312,Allen St & Stanton St,5484.09,40.722055,-73.989111,71,KEY,CREDITCARD,31,FALSE
313,Washington Ave & Park Ave,4724.03,40.69610226,-73.96751037,71,KEY,CREDITCARD,23,FALSE
315,South St & Gouverneur Ln,4953.04,40.70355377,-74.00670227,71,KEY,CREDITCARD,29,FALSE
316,Fulton St & William St,5137.11,40.70955958,-74.00653609,71,KEY,CREDITCARD,43,FALSE
317,E 6 St & Avenue B,5584.04,40.72453734,-73.98185424,71,KEY,CREDITCARD,27,FALSE
319,Fulton St & Broadway,5175.08,40.711066,-74.009447,71,KEY,CREDITCARD,33,FALSE
320,Leonard St & Church St,5359.11,40.717571,-74.005549,71,KEY,CREDITCARD,39,FALSE
321,Cadman Plaza E & Red Cross Pl,4821.06,40.69991755,-73.98971773,71,KEY,CREDITCARD,27,FALSE
322,Clinton St & Tillary St,4748.04,40.696192,-73.991218,71,KEY,CREDITCARD,31,FALSE
323,Lawrence St & Willoughby St,4596.09,40.69236178,-73.98631746,71,KEY,CREDITCARD,39,FALSE
324,DeKalb Ave & Hudson Ave,4513.06,40.689888,-73.981013,71,KEY,CREDITCARD,51,FALSE
325,E 19 St & 3 Ave,5938.01,40.73624527,-73.98473765,71,KEY,CREDITCARD,35,FALSE
326,E 11 St & 1 Ave,5746.14,40.72953837,-73.98426726,71,KEY,CREDITCARD,27,FALSE
327,Vesey Pl & River Terrace,5297.02,40.7153379,-74.01658354,71,KEY,CREDITCARD,39,TRUE
328,Watts St & Greenwich St,5578.02,40.72405549,-74.00965965,71,KEY,CREDITCARD,23,FALSE
330,Reade St & Broadway,5247.1,40.71450451,-74.00562789,71,KEY,CREDITCARD,39,FALSE
331,Pike St & Monroe St,5159.04,40.71173107,-73.99193043,71,KEY,CREDITCARD,27,FALSE
332,Cherry St,5181.04,40.71219906,-73.97948148,71,KEY,CREDITCARD,24,FALSE
334,W 20 St & 7 Ave,6182.02,40.74238787,-73.99726235,71,KEY,CREDITCARD,31,FALSE
335,Washington Pl & Broadway,5755.01,40.72903917,-73.99404649,71,KEY,CREDITCARD,27,FALSE
336,Sullivan St & Washington Sq,5721.01,40.73047747,-73.99906065,71,KEY,CREDITCARD,36,FALSE
337,Old Slip & Front St,4993.12,40.7037992,-74.00838676,71,KEY,CREDITCARD,37,FALSE
339,Avenue D & E 12 St,5575.08,40.72580614,-73.97422494,71,KEY,CREDITCARD,24,FALSE
340,Madison St & Clinton St,5190.07,40.71269042,-73.98776323,71,KEY,CREDITCARD,27,FALSE
341,Stanton St & Mangin St,5326.06,40.71782143,-73.97628939,71,KEY,CREDITCARD,19,FALSE
342,Columbia St & Rivington St,5365.02,40.71739973,-73.98016555,71,KEY,CREDITCARD,29,FALSE
343,Clinton Ave & Flushing Ave,4762.04,40.69794,-73.96986848,71,KEY,CREDITCARD,23,FALSE
344,Monroe St & Bedford Ave,4368.05,40.6851443,-73.95380904,71,KEY,CREDITCARD,23,FALSE
345,W 13 St & 6 Ave,5989.01,40.73649403,-73.99704374,71,KEY,CREDITCARD,35,FALSE
346,Bank St & Hudson St,5922.08,40.73652889,-74.00618026,71,KEY,CREDITCARD,27,FALSE
347,Greenwich St & W Houston St,5730.08,40.728846,-74.008591,71,KEY,CREDITCARD,35,FALSE
348,W Broadway & Spring St,5569.05,40.72490985,-74.00154702,71,KEY,CREDITCARD,42,FALSE
349,Rivington St & Ridge St,5406.02,40.71850211,-73.98329859,71,KEY,CREDITCARD,23,FALSE
350,Clinton St & Grand St,5303.06,40.71559509,-73.9870295,71,KEY,CREDITCARD,28,FALSE
351,Front St & Maiden Ln,5024.08,40.70530954,-74.00612572,71,KEY,CREDITCARD,39,FALSE
